H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
629.667,-34.85,629.667,-45,629.667,-76.69,-52.18
629.685,-34.85,629.685,-45,629.685,-76.69,-52.18
629.703,-34.85,629.703,-45,629.703,-76.69,-52.18
629.722,-52.85,629.722,-52,629.722,-55.69,-53.51333333
629.74,-43.85,629.74,-44,629.74,-32.69,-40.18
629.758,-7.85,629.758,-9,629.758,15.31,-0.5133333333
629.776,-3.85,629.776,-4,629.776,-2.69,-3.513333333
629.795,15.15,629.795,6,629.795,11.31,10.82
629.813,12.15,629.813,-1,629.813,7.31,6.153333333
629.831,-1.85,629.831,-2,629.831,-7.69,-3.846666667
629.85,9.15,629.85,11,629.85,-2.69,5.82
629.868,-1.85,629.868,-3,629.868,3.31,-0.5133333333
629.886,17.15,629.886,6,629.886,3.31,8.82
629.905,-6.85,629.905,-6,629.905,-15.69,-9.513333333
629.923,-9.85,629.923,-10,629.923,-9.69,-9.846666667
629.941,-20.85,629.941,-2,629.941,1.31,-7.18
629.96,-2.85,629.96,3,629.96,7.31,2.486666667
629.978,2.15,629.978,11,629.978,-10.69,0.82
629.996,-1.85,629.996,-9,629.996,-3.69,-4.846666667
630.014,12.15,630.014,26,630.014,13.31,17.15333333
630.033,15.15,630.033,24,630.033,11.31,16.82
630.051,9.15,630.051,15,630.051,18.31,14.15333333
630.069,-5.85,630.069,6,630.069,19.31,6.486666667
630.088,5.15,630.088,5,630.088,10.31,6.82
630.106,12.15,630.106,1,630.106,-4.69,2.82
630.124,3.15,630.124,0,630.124,-3.69,-0.18
630.142,3.15,630.142,4,630.142,-7.69,-0.18
630.161,-8.85,630.161,6,630.161,-23.69,-8.846666667
630.179,-2.85,630.179,-17,630.179,-15.69,-11.84666667
630.197,4.15,630.197,-9,630.197,2.31,-0.8466666667
630.216,29.15,630.216,26,630.216,17.31,24.15333333
630.234,79.15,630.234,91,630.234,70.31,80.15333333
630.252,34.15,630.252,29,630.252,43.31,35.48666667
630.27,10.15,630.27,18,630.27,30.31,19.48666667
630.289,23.15,630.289,19,630.289,16.31,19.48666667
630.307,3.15,630.307,7,630.307,0.31,3.486666667
630.325,12.15,630.325,11,630.325,8.31,10.48666667
630.343,4.15,630.343,13,630.343,2.31,6.486666667
630.362,10.15,630.362,1,630.362,6.31,5.82
630.38,25.15,630.38,18,630.38,3.31,15.48666667
630.398,6.15,630.398,8,630.398,8.31,7.486666667
630.416,1.15,630.416,12,630.416,3.31,5.486666667
630.435,-5.85,630.435,-6,630.435,6.31,-1.846666667
630.453,0.15,630.453,7,630.453,-7.69,-0.18
630.471,9.15,630.471,29,630.471,5.31,14.48666667
630.489,20.15,630.489,6,630.489,7.31,11.15333333
630.507,21.15,630.507,15,630.507,12.31,16.15333333
630.526,8.15,630.526,0,630.526,5.31,4.486666667
630.544,12.15,630.544,7,630.544,14.31,11.15333333
630.562,17.15,630.562,16,630.562,28.31,20.48666667
630.58,3.15,630.58,20,630.58,20.31,14.48666667
630.599,10.15,630.599,4,630.599,15.31,9.82
630.617,11.15,630.617,14,630.617,22.31,15.82
630.635,14.15,630.635,27,630.635,29.31,23.48666667
630.653,3.15,630.653,11,630.653,20.31,11.48666667
630.671,-1.85,630.671,8,630.671,18.31,8.153333333
630.69,-5.85,630.69,0,630.69,11.31,1.82
630.708,2.15,630.708,-2,630.708,9.31,3.153333333
630.726,10.15,630.726,12,630.726,13.31,11.82
630.744,11.15,630.744,-6,630.744,3.31,2.82
630.762,0.15,630.762,0,630.762,-13.69,-4.513333333
630.781,-11.85,630.781,-6,630.781,-0.69,-6.18
630.799,-7.85,630.799,3,630.799,13.31,2.82
630.817,4.15,630.817,17,630.817,23.31,14.82
630.835,27.15,630.835,26,630.835,20.31,24.48666667
630.853,19.15,630.853,27,630.853,16.31,20.82
630.871,12.15,630.871,12,630.871,4.31,9.486666667
630.89,12.15,630.89,6,630.89,9.31,9.153333333
630.908,2.15,630.908,0,630.908,2.31,1.486666667
630.926,-2.85,630.926,-11,630.926,-16.69,-10.18
630.944,24.15,630.944,8,630.944,19.31,17.15333333
630.962,34.15,630.962,22,630.962,25.31,27.15333333
630.98,46.15,630.98,28,630.98,40.31,38.15333333
630.999,9.15,630.999,17,630.999,11.31,12.48666667
631.017,17.15,631.017,15,631.017,7.31,13.15333333
631.035,-13.85,631.035,3,631.035,-6.69,-5.846666667
631.053,-6.85,631.053,1,631.053,-17.69,-7.846666667
631.071,-0.85,631.071,21,631.071,3.31,7.82
631.089,2.15,631.089,17,631.089,3.31,7.486666667
631.108,-1.85,631.108,-4,631.108,-4.69,-3.513333333
631.126,13.15,631.126,-9,631.126,5.31,3.153333333
631.144,9.15,631.144,5,631.144,17.31,10.48666667
631.162,4.15,631.162,5,631.162,19.31,9.486666667
631.18,-0.85,631.18,22,631.18,10.31,10.48666667
631.198,9.15,631.198,10,631.198,16.31,11.82
631.216,-0.85,631.216,-5,631.216,5.31,-0.18
631.234,-10.85,631.234,-22,631.234,-2.69,-11.84666667
631.253,-3.85,631.253,-7,631.253,15.31,1.486666667
631.271,5.15,631.271,-8,631.271,21.31,6.153333333
631.289,8.15,631.289,2,631.289,24.31,11.48666667
631.307,16.15,631.307,6,631.307,10.31,10.82
631.325,-12.85,631.325,5,631.325,7.31,-0.18
631.343,-1.85,631.343,21,631.343,21.31,13.48666667
631.361,-3.85,631.361,14,631.361,7.31,5.82
631.379,4.15,631.379,10,631.379,16.31,10.15333333
631.398,4.15,631.398,3,631.398,6.31,4.486666667
631.416,-0.85,631.416,7,631.416,-9.69,-1.18
631.434,-14.85,631.434,-10,631.434,-1.69,-8.846666667
631.452,-5.85,631.452,-1,631.452,6.31,-0.18
631.47,-10.85,631.47,-3,631.47,-0.69,-4.846666667
631.488,6.15,631.488,-1,631.488,1.31,2.153333333
631.506,7.15,631.506,15,631.506,-14.69,2.486666667
631.524,-10.85,631.524,4,631.524,-22.69,-9.846666667
631.542,4.15,631.542,7,631.542,-9.69,0.4866666667
631.56,18.15,631.56,-3,631.56,6.31,7.153333333
631.578,2.15,631.578,-8,631.578,1.31,-1.513333333
631.597,-18.85,631.597,10,631.597,-6.69,-5.18
631.615,-32.85,631.615,-6,631.615,-5.69,-14.84666667
631.633,-8.85,631.633,-6,631.633,-7.69,-7.513333333
631.651,9.15,631.651,5,631.651,4.31,6.153333333
631.669,17.15,631.669,-14,631.669,-2.69,0.1533333333
631.687,31.15,631.687,14,631.687,1.31,15.48666667
631.705,45.15,631.705,27,631.705,13.31,28.48666667
631.723,22.15,631.723,22,631.723,26.31,23.48666667
631.741,5.15,631.741,-8,631.741,9.31,2.153333333
631.759,7.15,631.759,6,631.759,-6.69,2.153333333
631.777,-1.85,631.777,9,631.777,-1.69,1.82
631.795,10.15,631.795,5,631.795,3.31,6.153333333
631.813,18.15,631.813,23,631.813,24.31,21.82
631.831,-4.85,631.831,-5,631.831,2.31,-2.513333333
631.849,13.15,631.849,24,631.849,4.31,13.82
631.867,17.15,631.867,20,631.867,8.31,15.15333333
631.885,13.15,631.885,0,631.885,9.31,7.486666667
631.903,-0.85,631.903,0,631.903,11.31,3.486666667
631.922,3.15,631.922,-7,631.922,8.31,1.486666667
631.94,8.15,631.94,0,631.94,8.31,5.486666667
631.958,2.15,631.958,3,631.958,1.31,2.153333333
631.976,14.15,631.976,1,631.976,19.31,11.48666667
631.994,3.15,631.994,-10,631.994,-5.69,-4.18
632.012,-14.85,632.012,-13,632.012,-0.69,-9.513333333
632.03,9.15,632.03,5,632.03,19.31,11.15333333
632.048,25.15,632.048,22,632.048,20.31,22.48666667
632.066,33.15,632.066,20,632.066,19.31,24.15333333
632.084,26.15,632.084,3,632.084,19.31,16.15333333
632.102,-1.85,632.102,8,632.102,9.31,5.153333333
632.12,-6.85,632.12,-3,632.12,-5.69,-5.18
632.138,-4.85,632.138,-6,632.138,-9.69,-6.846666667
632.156,13.15,632.156,21,632.156,32.31,22.15333333
632.174,-1.85,632.174,11,632.174,8.31,5.82
632.192,-15.85,632.192,1,632.192,-0.69,-5.18
632.21,2.15,632.21,-10,632.21,6.31,-0.5133333333
632.228,-9.85,632.228,-8,632.228,-0.69,-6.18
632.246,2.15,632.246,6,632.246,16.31,8.153333333
632.264,7.15,632.264,13,632.264,0.31,6.82
