HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
370.577,6.5,370.577,11.28,370.577,16.06,
370.805,10.5,370.805,10.28,370.805,14.06,
371.032,14.5,371.032,10.28,371.032,9.06,
371.26,10.5,371.26,13.28,371.26,13.06,
371.487,12.5,371.487,12.28,371.487,15.06,
371.715,9.5,371.715,14.28,371.715,14.06,
371.942,11.5,371.942,9.28,371.942,14.06,
372.17,13.5,372.17,9.28,372.17,18.06,
372.398,14.5,372.398,7.28,372.398,16.06,
372.625,12.5,372.625,12.28,372.625,7.06,
372.853,17.5,372.853,13.28,372.853,14.06,
373.08,13.5,373.08,12.28,373.08,15.06,
373.308,13.5,373.308,9.28,373.308,13.06,
373.535,10.5,373.535,9.28,373.535,12.06,
373.763,12.5,373.763,11.28,373.763,11.06,
373.99,10.5,373.99,10.28,373.99,12.06,
374.218,13.5,374.218,12.28,374.218,9.06,
374.445,12.5,374.445,14.28,374.445,14.06,
374.673,11.5,374.673,11.28,374.673,18.06,
374.901,8.5,374.901,11.28,374.901,15.06,
375.128,14.5,375.128,11.28,375.128,10.06,
375.356,12.5,375.356,6.28,375.356,14.06,
375.583,10.5,375.583,8.28,375.583,12.06,
375.811,27.5,375.811,36.28,375.811,43.06,
376.038,15.5,376.038,10.28,376.038,15.06,
376.266,13.5,376.266,6.28,376.266,12.06,
376.493,16.5,376.493,11.28,376.493,15.06,
376.721,10.5,376.721,9.28,376.721,16.06,
376.948,10.5,376.948,13.28,376.948,15.06,
377.176,11.5,377.176,13.28,377.176,13.06,
377.403,12.5,377.403,9.28,377.403,13.06,
377.631,6.5,377.631,8.28,377.631,14.06,
377.858,13.5,377.858,10.28,377.858,15.06,
378.086,10.5,378.086,11.28,378.086,15.06,
378.313,10.5,378.313,12.28,378.313,18.06,
378.541,11.5,378.541,10.28,378.541,10.06,
378.768,12.5,378.768,11.28,378.768,12.06,
378.996,18.5,378.996,14.28,378.996,11.06,
379.223,14.5,379.223,7.28,379.223,15.06,
379.45,10.5,379.45,10.28,379.45,15.06,
379.678,15.5,379.678,10.28,379.678,16.06,
379.905,15.5,379.905,13.28,379.905,12.06,
380.133,16.5,380.133,9.28,380.133,14.06,
380.36,13.5,380.36,6.28,380.36,11.06,
380.588,15.5,380.588,9.28,380.588,20.06,
380.815,12.5,380.815,10.28,380.815,15.06,
381.043,12.5,381.043,9.28,381.043,14.06,
381.27,11.5,381.27,12.28,381.27,14.06,
381.498,14.5,381.498,7.28,381.498,8.06,
381.725,12.5,381.725,9.28,381.725,14.06,
381.952,14.5,381.952,7.28,381.952,12.06,
382.18,7.5,382.18,8.28,382.18,12.06,
382.407,10.5,382.407,8.28,382.407,16.06,
382.635,9.5,382.635,9.28,382.635,14.06,
382.862,10.5,382.862,12.28,382.862,16.06,
383.09,10.5,383.09,11.28,383.09,12.06,
383.317,11.5,383.317,10.28,383.317,18.06,
383.544,16.5,383.544,9.28,383.544,18.06,
383.772,10.5,383.772,13.28,383.772,14.06,
383.999,10.5,383.999,11.28,383.999,14.06,
384.227,9.5,384.227,10.28,384.227,12.06,
384.454,17.5,384.454,11.28,384.454,18.06,
384.681,13.5,384.681,10.28,384.681,16.06,
384.909,11.5,384.909,11.28,384.909,15.06,
385.136,8.5,385.136,9.28,385.136,13.06,
385.364,11.5,385.364,11.28,385.364,10.06,
385.591,15.5,385.591,9.28,385.591,15.06,
385.818,10.5,385.818,9.28,385.818,13.06,
386.046,10.5,386.046,13.28,386.046,16.06,
386.273,20.5,386.273,14.28,386.273,17.06,
386.5,15.5,386.5,12.28,386.5,15.06,
386.728,10.5,386.728,10.28,386.728,14.06,
386.955,12.5,386.955,9.28,386.955,14.06,
387.183,12.5,387.183,15.28,387.183,14.06,
387.41,14.5,387.41,13.28,387.41,12.06,
387.637,11.5,387.637,9.28,387.637,18.06,
387.865,10.5,387.865,10.28,387.865,11.06,
388.092,8.5,388.092,11.28,388.092,16.06,
388.319,14.5,388.319,11.28,388.319,14.06,
388.547,12.5,388.547,10.28,388.547,16.06,
388.774,14.5,388.774,7.28,388.774,16.06,
389.001,10.5,389.001,10.28,389.001,17.06,
389.229,11.5,389.229,11.28,389.229,9.06,
389.456,8.5,389.456,12.28,389.456,13.06,
389.683,16.5,389.683,12.28,389.683,16.06,
389.911,12.5,389.911,11.28,389.911,12.06,
390.138,11.5,390.138,12.28,390.138,16.06,
390.365,14.5,390.365,8.28,390.365,12.06,
390.593,13.5,390.593,8.28,390.593,14.06,
390.82,12.5,390.82,7.28,390.82,14.06,
391.047,9.5,391.047,8.28,391.047,15.06,
391.275,9.5,391.275,12.28,391.275,16.06,
391.502,8.5,391.502,9.28,391.502,17.06,
391.729,14.5,391.729,11.28,391.729,15.06,
391.956,13.5,391.956,15.28,391.956,14.06,
392.184,13.5,392.184,14.28,392.184,13.06,
392.411,11.5,392.411,10.28,392.411,15.06,
392.638,13.5,392.638,11.28,392.638,13.06,
392.866,13.5,392.866,12.28,392.866,17.06,
393.093,14.5,393.093,15.28,393.093,20.06,
393.32,15.5,393.32,15.28,393.32,19.06,
393.547,11.5,393.547,7.28,393.547,13.06,
393.775,14.5,393.775,10.28,393.775,17.06,
394.002,13.5,394.002,9.28,394.002,16.06,
394.229,12.5,394.229,17.28,394.229,15.06,
394.456,8.5,394.456,12.28,394.456,14.06,
394.684,7.5,394.684,9.28,394.684,18.06,
394.911,14.5,394.911,10.28,394.911,19.06,
395.138,14.5,395.138,13.28,395.138,15.06,
395.365,12.5,395.365,15.28,395.365,11.06,
395.593,14.5,395.593,10.28,395.593,16.06,
395.82,13.5,395.82,10.28,395.82,18.06,
396.047,11.5,396.047,10.28,396.047,12.06,
396.274,14.5,396.274,14.28,396.274,15.06,
396.502,18.5,396.502,13.28,396.502,20.06,
396.729,13.5,396.729,7.28,396.729,14.06,
396.956,6.5,396.956,9.28,396.956,13.06,
397.183,10.5,397.183,12.28,397.183,11.06,
397.41,15.5,397.41,12.28,397.41,15.06,
397.638,13.5,397.638,13.28,397.638,19.06,
397.865,12.5,397.865,7.28,397.865,18.06,
398.092,10.5,398.092,14.28,398.092,16.06,
398.319,15.5,398.319,9.28,398.319,21.06,
398.547,12.5,398.547,16.28,398.547,14.06,
398.774,9.5,398.774,14.28,398.774,16.06,
399.001,11.5,399.001,14.28,399.001,16.06,
399.228,11.5,399.228,13.28,399.228,16.06,
399.455,8.5,399.455,12.28,399.455,18.06,
399.682,12.5,399.682,9.28,399.682,14.06,
399.91,13.5,399.91,13.28,399.91,13.06,
400.137,12.5,400.137,14.28,400.137,18.06,
400.364,12.5,400.364,13.28,400.364,20.06,
400.591,14.5,400.591,15.28,400.591,21.06,
400.818,12.5,400.818,5.28,400.818,15.06,
401.045,14.5,401.045,7.28,401.045,12.06,
401.273,7.5,401.273,9.28,401.273,16.06,
401.5,14.5,401.5,13.28,401.5,11.06,
401.727,11.5,401.727,9.28,401.727,12.06,
401.954,12.5,401.954,11.28,401.954,18.06,
402.181,14.5,402.181,11.28,402.181,14.06,
402.408,13.5,402.408,13.28,402.408,12.06,
402.635,13.5,402.635,8.28,402.635,8.06,
402.863,11.5,402.863,8.28,402.863,13.06,
403.09,9.5,403.09,4.28,403.09,12.06,
403.317,8.5,403.317,10.28,403.317,13.06,
403.544,12.5,403.544,15.28,403.544,20.06,
403.771,11.5,403.771,13.28,403.771,18.06,
403.998,10.5,403.998,9.28,403.998,15.06,
404.225,10.5,404.225,10.28,404.225,16.06,
404.452,7.5,404.452,14.28,404.452,14.06,
404.68,10.5,404.68,16.28,404.68,12.06,
404.907,15.5,404.907,9.28,404.907,16.06,
405.134,8.5,405.134,12.28,405.134,11.06,
405.361,11.5,405.361,13.28,405.361,14.06,
405.588,12.5,405.588,7.28,405.588,17.06,
405.815,12.5,405.815,8.28,405.815,18.06,
406.042,11.5,406.042,9.28,406.042,12.06,
406.269,15.5,406.269,11.28,406.269,17.06,
406.496,12.5,406.496,9.28,406.496,12.06,
406.723,12.5,406.723,12.28,406.723,16.06,
406.95,10.5,406.95,12.28,406.95,15.06,
407.177,12.5,407.177,16.28,407.177,10.06,
407.405,8.5,407.405,14.28,407.405,14.06,
407.632,12.5,407.632,6.28,407.632,17.06,
407.859,16.5,407.859,15.28,407.859,16.06,
408.086,13.5,408.086,8.28,408.086,15.06,
408.313,10.5,408.313,7.28,408.313,19.06,
408.54,10.5,408.54,7.28,408.54,12.06,
408.767,12.5,408.767,10.28,408.767,10.06,
408.994,10.5,408.994,10.28,408.994,14.06,
409.221,10.5,409.221,13.28,409.221,14.06,
409.448,7.5,409.448,9.28,409.448,19.06,
409.675,16.5,409.675,12.28,409.675,18.06,
409.902,11.5,409.902,11.28,409.902,17.06,
410.129,12.5,410.129,9.28,410.129,17.06,
410.356,14.5,410.356,11.28,410.356,10.06,
410.583,9.5,410.583,15.28,410.583,17.06,
410.81,11.5,410.81,9.28,410.81,11.06,
411.037,9.5,411.037,12.28,411.037,14.06,
411.264,15.5,411.264,12.28,411.264,14.06,
411.491,10.5,411.491,11.28,411.491,12.06,
411.718,15.5,411.718,11.28,411.718,16.06,
411.945,16.5,411.945,11.28,411.945,12.06,
412.172,9.5,412.172,13.28,412.172,11.06,
412.399,6.5,412.399,11.28,412.399,20.06,
412.626,13.5,412.626,8.28,412.626,19.06,
412.853,15.5,412.853,14.28,412.853,21.06,
413.08,20.5,413.08,20.28,413.08,21.06,
413.307,31.5,413.307,27.28,413.307,35.06,
413.534,31.5,413.534,37.28,413.534,43.06,
413.761,22.5,413.761,25.28,413.761,48.06,
413.988,12.5,413.988,17.28,413.988,24.06,
414.215,9.5,414.215,11.28,414.215,18.06,
414.442,14.5,414.442,10.28,414.442,12.06,
414.669,16.5,414.669,11.28,414.669,13.06,
414.896,10.5,414.896,9.28,414.896,10.06,
415.122,12.5,415.122,10.28,415.122,16.06,
415.349,10.5,415.349,11.28,415.349,16.06,
415.576,11.5,415.576,7.28,415.576,13.06,
