HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
630.89,8.08,630.89,-3.23,630.89,-1.08,1.256666667,,,,,,,,,
630.908,3.08,630.908,11.77,630.908,-9.08,1.923333333,,,,,,,,,
630.926,-9.92,630.926,-3.23,630.926,-13.08,-8.743333333,,,,,,,,,
630.944,-8.92,630.944,11.77,630.944,21.92,8.256666667,,,,,,,,,
630.962,1.08,630.962,18.77,630.962,24.92,14.92333333,,,,,,,,,
630.98,25.08,630.98,37.77,630.98,35.92,32.92333333,,,,,,,,,
630.999,-2.92,630.999,16.77,630.999,21.92,11.92333333,,,,,,,,,
631.017,-1.92,631.017,6.77,631.017,3.92,2.923333333,,,,,,,,,
631.035,-21.92,631.035,15.77,631.035,8.92,0.9233333333,,,,,,,,,
631.053,-14.92,631.053,2.77,631.053,-6.08,-6.076666667,,,,,,,,,
631.071,3.08,631.071,26.77,631.071,13.92,14.59,,,,,,,,,
631.089,16.08,631.089,9.77,631.089,7.92,11.25666667,,,,,,,,,
631.108,2.08,631.108,-2.23,631.108,-14.08,-4.743333333,,,,,,,,,
631.126,2.08,631.126,-1.23,631.126,2.92,1.256666667,,,,,,,,,
631.144,12.08,631.144,19.77,631.144,6.92,12.92333333,,,,,,,,,
631.162,14.08,631.162,11.77,631.162,5.92,10.59,,,,,,,,,
631.18,19.08,631.18,12.77,631.18,10.92,14.25666667,,,,,,,,,
631.198,12.08,631.198,16.77,631.198,1.92,10.25666667,,,,,,,,,
631.216,17.08,631.216,7.77,631.216,6.92,10.59,,,,,,,,,
631.234,4.08,631.234,-13.23,631.234,-0.08,-3.076666667,,,,,,,,,
631.253,18.08,631.253,-15.23,631.253,-8.08,-1.743333333,,,,,,,,,
631.271,9.08,631.271,-1.23,631.271,1.92,3.256666667,,,,,,,,,
631.289,16.08,631.289,7.77,631.289,-15.08,2.923333333,,,,,,,,,
631.307,6.08,631.307,9.77,631.307,-2.08,4.59,,,,,,,,,
631.325,-8.92,631.325,3.77,631.325,13.92,2.923333333,,,,,,,,,
631.343,14.08,631.343,11.77,631.343,17.92,14.59,,,,,,,,,
631.361,10.08,631.361,7.77,631.361,4.92,7.59,,,,,,,,,
631.379,4.08,631.379,18.77,631.379,10.92,11.25666667,,,,,,,,,
631.398,-6.92,631.398,13.77,631.398,3.92,3.59,,,,,,,,,
631.416,5.08,631.416,11.77,631.416,-5.08,3.923333333,,,,,,,,,
631.434,9.08,631.434,6.77,631.434,-11.08,1.59,,,,,,,,,
631.452,3.08,631.452,7.77,631.452,-5.08,1.923333333,,,,,,,,,
631.47,-21.92,631.47,-6.23,631.47,-14.08,-14.07666667,,,,,,,,,
631.488,-2.92,631.488,6.77,631.488,3.92,2.59,,,,,,,,,
631.506,-10.92,631.506,5.77,631.506,3.92,-0.41,,,,,,,,,
631.524,-10.92,631.524,11.77,631.524,-3.08,-0.7433333333,,,,,,,,,
631.542,-5.92,631.542,5.77,631.542,0.92,0.2566666667,,,,,,,,,
631.56,13.08,631.56,3.77,631.56,1.92,6.256666667,,,,,,,,,
631.578,10.08,631.578,12.77,631.578,7.92,10.25666667,,,,,,,,,
631.597,14.08,631.597,26.77,631.597,17.92,19.59,,,,,,,,,
631.615,-3.92,631.615,11.77,631.615,-3.08,1.59,,,,,,,,,
631.633,0.08,631.633,-3.23,631.633,-5.08,-2.743333333,,,,,,,,,
631.651,-3.92,631.651,5.77,631.651,11.92,4.59,,,,,,,,,
631.669,-15.92,631.669,0.77,631.669,-8.08,-7.743333333,,,,,,,,,
631.687,14.08,631.687,23.77,631.687,18.92,18.92333333,,,,,,,,,
631.705,19.08,631.705,31.77,631.705,13.92,21.59,,,,,,,,,
631.723,15.08,631.723,11.77,631.723,13.92,13.59,,,,,,,,,
631.741,-8.92,631.741,-1.23,631.741,-6.08,-5.41,,,,,,,,,
631.759,-15.92,631.759,-2.23,631.759,3.92,-4.743333333,,,,,,,,,
631.777,1.08,631.777,-5.23,631.777,-5.08,-3.076666667,,,,,,,,,
631.795,11.08,631.795,-0.23,631.795,-1.08,3.256666667,,,,,,,,,
631.813,11.08,631.813,-6.23,631.813,12.92,5.923333333,,,,,,,,,
631.831,1.08,631.831,2.77,631.831,-0.08,1.256666667,,,,,,,,,
631.849,17.08,631.849,14.77,631.849,4.92,12.25666667,,,,,,,,,
631.867,19.08,631.867,19.77,631.867,17.92,18.92333333,,,,,,,,,
631.885,7.08,631.885,3.77,631.885,3.92,4.923333333,,,,,,,,,
631.903,11.08,631.903,2.77,631.903,12.92,8.923333333,,,,,,,,,
631.922,-6.92,631.922,4.77,631.922,-4.08,-2.076666667,,,,,,,,,
631.94,-3.92,631.94,9.77,631.94,-3.08,0.9233333333,,,,,,,,,
631.958,1.08,631.958,0.77,631.958,-3.08,-0.41,,,,,,,,,
631.976,15.08,631.976,1.77,631.976,-4.08,4.256666667,,,,,,,,,
631.994,6.08,631.994,-13.23,631.994,-13.08,-6.743333333,,,,,,,,,
632.012,-6.92,632.012,-0.23,632.012,-7.08,-4.743333333,,,,,,,,,
632.03,13.08,632.03,12.77,632.03,-12.08,4.59,,,,,,,,,
632.048,14.08,632.048,14.77,632.048,3.92,10.92333333,,,,,,,,,
632.066,27.08,632.066,6.77,632.066,6.92,13.59,,,,,,,,,
632.084,2.08,632.084,8.77,632.084,-2.08,2.923333333,,,,,,,,,
632.102,-10.92,632.102,-2.23,632.102,-7.08,-6.743333333,,,,,,,,,
632.12,1.08,632.12,-12.23,632.12,-16.08,-9.076666667,,,,,,,,,
632.138,-3.92,632.138,8.77,632.138,3.92,2.923333333,,,,,,,,,
632.156,19.08,632.156,10.77,632.156,10.92,13.59,,,,,,,,,
632.174,11.08,632.174,-6.23,632.174,-2.08,0.9233333333,,,,,,,,,
632.192,-9.92,632.192,-13.23,632.192,-8.08,-10.41,,,,,,,,,
632.21,-0.92,632.21,-7.23,632.21,-6.08,-4.743333333,,,,,,,,,
632.228,-13.92,632.228,-9.23,632.228,-10.08,-11.07666667,,,,,,,,,
632.246,-1.92,632.246,13.77,632.246,-1.08,3.59,,,,,,,,,
632.264,8.08,632.264,16.77,632.264,-3.08,7.256666667,,,,,,,,,
632.282,11.08,632.282,19.77,632.282,8.92,13.25666667,,,,,,,,,
632.3,-5.92,632.3,20.77,632.3,4.92,6.59,,,,,,,,,
632.318,7.08,632.318,25.77,632.318,15.92,16.25666667,,,,,,,,,
632.336,19.08,632.336,9.77,632.336,18.92,15.92333333,,,,,,,,,
632.354,9.08,632.354,5.77,632.354,-7.08,2.59,,,,,,,,,
632.372,4.08,632.372,6.77,632.372,-5.08,1.923333333,,,,,,,,,
632.39,-13.92,632.39,6.77,632.39,-2.08,-3.076666667,,,,,,,,,
632.408,-3.92,632.408,-1.23,632.408,-13.08,-6.076666667,,,,,,,,,
632.426,-3.92,632.426,-18.23,632.426,-19.08,-13.74333333,,,,,,,,,
632.443,5.08,632.443,4.77,632.443,5.92,5.256666667,,,,,,,,,
632.461,9.08,632.461,9.77,632.461,6.92,8.59,,,,,,,,,
632.479,-4.92,632.479,-3.23,632.479,-8.08,-5.41,,,,,,,,,
632.497,-4.92,632.497,-5.23,632.497,-9.08,-6.41,,,,,,,,,
632.515,4.08,632.515,4.77,632.515,5.92,4.923333333,,,,,,,,,
632.533,17.08,632.533,15.77,632.533,15.92,16.25666667,,,,,,,,,
632.551,13.08,632.551,5.77,632.551,5.92,8.256666667,,,,,,,,,
632.569,-7.92,632.569,19.77,632.569,-3.08,2.923333333,,,,,,,,,
632.587,-15.92,632.587,12.77,632.587,-18.08,-7.076666667,,,,,,,,,
632.605,-15.92,632.605,-0.23,632.605,-25.08,-13.74333333,,,,,,,,,
632.623,-3.92,632.623,8.77,632.623,-1.08,1.256666667,,,,,,,,,
632.641,4.08,632.641,19.77,632.641,-23.08,0.2566666667,,,,,,,,,
632.659,-9.92,632.659,-3.23,632.659,-28.08,-13.74333333,,,,,,,,,
632.677,-8.92,632.677,3.77,632.677,-21.08,-8.743333333,,,,,,,,,
632.695,1.08,632.695,7.77,632.695,-13.08,-1.41,,,,,,,,,
632.713,0.08,632.713,15.77,632.713,-5.08,3.59,,,,,,,,,
632.731,10.08,632.731,0.77,632.731,-5.08,1.923333333,,,,,,,,,
632.748,24.08,632.748,-10.23,632.748,-13.08,0.2566666667,,,,,,,,,
632.766,12.08,632.766,-1.23,632.766,-9.08,0.59,,,,,,,,,
632.784,11.08,632.784,14.77,632.784,3.92,9.923333333,,,,,,,,,
632.802,21.08,632.802,27.77,632.802,17.92,22.25666667,,,,,,,,,
632.82,31.08,632.82,33.77,632.82,22.92,29.25666667,,,,,,,,,
632.838,5.08,632.838,27.77,632.838,7.92,13.59,,,,,,,,,
632.856,-2.92,632.856,5.77,632.856,-3.08,-0.07666666667,,,,,,,,,
632.874,10.08,632.874,13.77,632.874,-8.08,5.256666667,,,,,,,,,
632.892,1.08,632.892,0.77,632.892,5.92,2.59,,,,,,,,,
632.91,-3.92,632.91,-0.23,632.91,-6.08,-3.41,,,,,,,,,
632.928,1.08,632.928,7.77,632.928,1.92,3.59,,,,,,,,,
632.945,18.08,632.945,-2.23,632.945,18.92,11.59,,,,,,,,,
632.963,18.08,632.963,6.77,632.963,23.92,16.25666667,,,,,,,,,
632.981,16.08,632.981,0.77,632.981,12.92,9.923333333,,,,,,,,,
632.999,7.08,632.999,9.77,632.999,3.92,6.923333333,,,,,,,,,
633.017,3.08,633.017,6.77,633.017,-5.08,1.59,,,,,,,,,
633.035,-5.92,633.035,12.77,633.035,9.92,5.59,,,,,,,,,
633.053,-6.92,633.053,-1.23,633.053,6.92,-0.41,,,,,,,,,
633.071,-5.92,633.071,-4.23,633.071,9.92,-0.07666666667,,,,,,,,,
633.089,6.08,633.089,2.77,633.089,-3.08,1.923333333,,,,,,,,,
633.106,3.08,633.106,4.77,633.106,5.92,4.59,,,,,,,,,
633.124,13.08,633.124,30.77,633.124,18.92,20.92333333,,,,,,,,,
633.142,8.08,633.142,15.77,633.142,8.92,10.92333333,,,,,,,,,
633.16,24.08,633.16,17.77,633.16,19.92,20.59,,,,,,,,,
633.178,13.08,633.178,3.77,633.178,0.92,5.923333333,,,,,,,,,
633.196,8.08,633.196,13.77,633.196,2.92,8.256666667,,,,,,,,,
633.214,24.08,633.214,27.77,633.214,13.92,21.92333333,,,,,,,,,
633.231,31.08,633.231,21.77,633.231,16.92,23.25666667,,,,,,,,,
633.249,14.08,633.249,3.77,633.249,2.92,6.923333333,,,,,,,,,
633.267,16.08,633.267,14.77,633.267,-2.08,9.59,,,,,,,,,
633.285,11.08,633.285,7.77,633.285,-1.08,5.923333333,,,,,,,,,
633.303,-10.92,633.303,9.77,633.303,-4.08,-1.743333333,,,,,,,,,
633.321,-15.92,633.321,8.77,633.321,-12.08,-6.41,,,,,,,,,
633.339,8.08,633.339,17.77,633.339,-3.08,7.59,,,,,,,,,
633.356,12.08,633.356,17.77,633.356,0.92,10.25666667,,,,,,,,,
633.374,4.08,633.374,4.77,633.374,6.92,5.256666667,,,,,,,,,
633.392,6.08,633.392,-2.23,633.392,-10.08,-2.076666667,,,,,,,,,
633.41,3.08,633.41,-12.23,633.41,-12.08,-7.076666667,,,,,,,,,
633.428,5.08,633.428,-0.23,633.428,-13.08,-2.743333333,,,,,,,,,
633.446,-2.92,633.446,3.77,633.446,-11.08,-3.41,,,,,,,,,
633.463,-0.92,633.463,-1.23,633.463,-22.08,-8.076666667,,,,,,,,,
633.481,12.08,633.481,9.77,633.481,-3.08,6.256666667,,,,,,,,,
633.499,-11.92,633.499,3.77,633.499,-5.08,-4.41,,,,,,,,,
633.517,-5.92,633.517,21.77,633.517,4.92,6.923333333,,,,,,,,,
633.535,8.08,633.535,4.77,633.535,-7.08,1.923333333,,,,,,,,,
633.552,22.08,633.552,5.77,633.552,-12.08,5.256666667,,,,,,,,,
633.57,-8.92,633.57,-6.23,633.57,-11.08,-8.743333333,,,,,,,,,
633.588,-11.92,633.588,-7.23,633.588,-18.08,-12.41,,,,,,,,,
633.606,-22.92,633.606,-14.23,633.606,-16.08,-17.74333333,,,,,,,,,
