HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
631.542,7.23,631.542,7.23,631.542,3.85,6.103333333
631.56,3.23,631.56,3.23,631.56,4.85,3.77
631.578,-2.77,631.578,-2.77,631.578,2.85,-0.8966666667
631.597,-8.77,631.597,-8.77,631.597,0.85,-5.563333333
631.615,-3.77,631.615,-3.77,631.615,-7.15,-4.896666667
631.633,-0.77,631.633,-0.77,631.633,-17.15,-6.23
631.651,9.23,631.651,9.23,631.651,-1.15,5.77
631.669,6.23,631.669,6.23,631.669,17.85,10.10333333
631.687,15.23,631.687,15.23,631.687,19.85,16.77
631.705,23.23,631.705,23.23,631.705,23.85,23.43666667
631.723,21.23,631.723,21.23,631.723,11.85,18.10333333
631.741,5.23,631.741,5.23,631.741,-6.15,1.436666667
631.759,4.23,631.759,4.23,631.759,-3.15,1.77
631.777,8.23,631.777,8.23,631.777,7.85,8.103333333
631.795,-0.77,631.795,-0.77,631.795,5.85,1.436666667
631.813,9.23,631.813,9.23,631.813,15.85,11.43666667
631.831,-4.77,631.831,-4.77,631.831,11.85,0.77
631.849,6.23,631.849,6.23,631.849,10.85,7.77
631.867,20.23,631.867,20.23,631.867,-2.15,12.77
631.885,13.23,631.885,13.23,631.885,19.85,15.43666667
631.903,14.23,631.903,14.23,631.903,32.85,20.43666667
631.922,-6.77,631.922,-6.77,631.922,-1.15,-4.896666667
631.94,20.23,631.94,20.23,631.94,13.85,18.10333333
631.958,22.23,631.958,22.23,631.958,8.85,17.77
631.976,15.23,631.976,15.23,631.976,13.85,14.77
631.994,4.23,631.994,4.23,631.994,-4.15,1.436666667
632.012,-2.77,632.012,-2.77,632.012,-1.15,-2.23
632.03,20.23,632.03,20.23,632.03,14.85,18.43666667
632.048,21.23,632.048,21.23,632.048,15.85,19.43666667
632.066,36.23,632.066,36.23,632.066,5.85,26.10333333
632.084,22.23,632.084,22.23,632.084,-4.15,13.43666667
632.102,-8.77,632.102,-8.77,632.102,-3.15,-6.896666667
632.12,-6.77,632.12,-6.77,632.12,-8.15,-7.23
632.138,4.23,632.138,4.23,632.138,1.85,3.436666667
632.156,15.23,632.156,15.23,632.156,23.85,18.10333333
632.174,0.23,632.174,0.23,632.174,5.85,2.103333333
632.192,-7.77,632.192,-7.77,632.192,-5.15,-6.896666667
632.21,11.23,632.21,11.23,632.21,1.85,8.103333333
632.228,3.23,632.228,3.23,632.228,-13.15,-2.23
632.246,10.23,632.246,10.23,632.246,1.85,7.436666667
