H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
631.542,11.38,631.542,7.15,631.542,-2.92,5.203333333
631.56,-1.62,631.56,-2.85,631.56,1.08,-1.13
631.578,7.38,631.578,-0.85,631.578,16.08,7.536666667
631.597,7.38,631.597,-7.85,631.597,2.08,0.5366666667
631.615,-19.62,631.615,-15.85,631.615,-4.92,-13.46333333
631.633,-4.62,631.633,8.15,631.633,1.08,1.536666667
631.651,5.38,631.651,17.15,631.651,4.08,8.87
631.669,-16.62,631.669,-6.85,631.669,-1.92,-8.463333333
631.687,6.38,631.687,6.15,631.687,24.08,12.20333333
631.705,19.38,631.705,9.15,631.705,31.08,19.87
631.723,23.38,631.723,19.15,631.723,20.08,20.87
631.741,7.38,631.741,4.15,631.741,14.08,8.536666667
631.759,-4.62,631.759,1.15,631.759,1.08,-0.7966666667
631.777,10.38,631.777,10.15,631.777,8.08,9.536666667
631.795,9.38,631.795,24.15,631.795,14.08,15.87
631.813,11.38,631.813,30.15,631.813,1.08,14.20333333
631.831,-0.62,631.831,6.15,631.831,-4.92,0.2033333333
631.849,5.38,631.849,20.15,631.849,10.08,11.87
631.867,2.38,631.867,13.15,631.867,11.08,8.87
631.885,-4.62,631.885,-4.85,631.885,-1.92,-3.796666667
631.903,15.38,631.903,11.15,631.903,7.08,11.20333333
631.922,0.38,631.922,14.15,631.922,2.08,5.536666667
631.94,1.38,631.94,13.15,631.94,2.08,5.536666667
631.958,-12.62,631.958,2.15,631.958,-2.92,-4.463333333
631.976,-5.62,631.976,12.15,631.976,-0.92,1.87
631.994,-10.62,631.994,-6.85,631.994,-7.92,-8.463333333
632.012,-2.62,632.012,-11.85,632.012,-6.92,-7.13
632.03,13.38,632.03,-8.85,632.03,10.08,4.87
632.048,8.38,632.048,8.15,632.048,20.08,12.20333333
632.066,8.38,632.066,25.15,632.066,11.08,14.87
632.084,9.38,632.084,10.15,632.084,17.08,12.20333333
632.102,10.38,632.102,2.15,632.102,7.08,6.536666667
632.12,-6.62,632.12,-4.85,632.12,5.08,-2.13
632.138,-3.62,632.138,9.15,632.138,4.08,3.203333333
632.156,11.38,632.156,30.15,632.156,36.08,25.87
632.174,-0.62,632.174,8.15,632.174,8.08,5.203333333
632.192,3.38,632.192,6.15,632.192,5.08,4.87
632.21,11.38,632.21,16.15,632.21,15.08,14.20333333
632.228,-9.62,632.228,9.15,632.228,4.08,1.203333333
632.246,-7.62,632.246,9.15,632.246,19.08,6.87
632.264,1.38,632.264,25.15,632.264,22.08,16.20333333
632.282,-1.62,632.282,23.15,632.282,29.08,16.87
632.3,0.38,632.3,6.15,632.3,-4.92,0.5366666667
632.318,4.38,632.318,10.15,632.318,5.08,6.536666667
632.336,7.38,632.336,-12.85,632.336,7.08,0.5366666667
632.354,18.38,632.354,-6.85,632.354,9.08,6.87
632.372,18.38,632.372,5.15,632.372,14.08,12.53666667
632.39,6.38,632.39,15.15,632.39,2.08,7.87
632.408,6.38,632.408,9.15,632.408,1.08,5.536666667
632.426,-10.62,632.426,1.15,632.426,-13.92,-7.796666667
632.443,-6.62,632.443,26.15,632.443,34.08,17.87
632.461,9.38,632.461,19.15,632.461,13.08,13.87
632.479,-1.62,632.479,2.15,632.479,4.08,1.536666667
632.497,-2.62,632.497,-12.85,632.497,3.08,-4.13
632.515,2.38,632.515,-9.85,632.515,-1.92,-3.13
632.533,19.38,632.533,7.15,632.533,11.08,12.53666667
632.551,-1.62,632.551,8.15,632.551,6.08,4.203333333
632.569,-11.62,632.569,15.15,632.569,6.08,3.203333333
632.587,0.38,632.587,-4.85,632.587,10.08,1.87
632.605,0.38,632.605,-8.85,632.605,5.08,-1.13
632.623,17.38,632.623,5.15,632.623,5.08,9.203333333
632.641,21.38,632.641,19.15,632.641,14.08,18.20333333
632.659,4.38,632.659,-0.85,632.659,-4.92,-0.4633333333
632.677,-5.62,632.677,-0.85,632.677,1.08,-1.796666667
632.695,-11.62,632.695,-5.85,632.695,9.08,-2.796666667
632.713,-13.62,632.713,4.15,632.713,7.08,-0.7966666667
632.731,-3.62,632.731,-2.85,632.731,4.08,-0.7966666667
632.748,4.38,632.748,2.15,632.748,10.08,5.536666667
632.766,6.38,632.766,10.15,632.766,2.08,6.203333333
632.784,22.38,632.784,18.15,632.784,6.08,15.53666667
632.802,13.38,632.802,15.15,632.802,24.08,17.53666667
632.82,13.38,632.82,21.15,632.82,30.08,21.53666667
632.838,3.38,632.838,9.15,632.838,4.08,5.536666667
632.856,-6.62,632.856,3.15,632.856,1.08,-0.7966666667
632.874,21.38,632.874,14.15,632.874,27.08,20.87
632.892,11.38,632.892,-4.85,632.892,10.08,5.536666667
632.91,13.38,632.91,-0.85,632.91,-5.92,2.203333333
632.928,11.38,632.928,-2.85,632.928,5.08,4.536666667
632.945,3.38,632.945,18.15,632.945,9.08,10.20333333
632.963,17.38,632.963,14.15,632.963,12.08,14.53666667
632.981,-0.62,632.981,5.15,632.981,21.08,8.536666667
632.999,1.38,632.999,-0.85,632.999,12.08,4.203333333
633.017,-3.62,633.017,4.15,633.017,-2.92,-0.7966666667
633.035,5.38,633.035,19.15,633.035,0.08,8.203333333
633.053,-3.62,633.053,9.15,633.053,2.08,2.536666667
633.071,11.38,633.071,3.15,633.071,8.08,7.536666667
633.089,-12.62,633.089,9.15,633.089,16.08,4.203333333
633.106,-9.62,633.106,5.15,633.106,14.08,3.203333333
633.124,8.38,633.124,24.15,633.124,9.08,13.87
633.142,5.38,633.142,15.15,633.142,2.08,7.536666667
633.16,18.38,633.16,18.15,633.16,20.08,18.87
633.178,-2.62,633.178,9.15,633.178,7.08,4.536666667
633.196,-6.62,633.196,7.15,633.196,-1.92,-0.4633333333
633.214,22.38,633.214,7.15,633.214,0.08,9.87
633.231,22.38,633.231,12.15,633.231,19.08,17.87
633.249,-7.62,633.249,0.15,633.249,-13.92,-7.13
633.267,-8.62,633.267,6.15,633.267,-4.92,-2.463333333
633.285,9.38,633.285,6.15,633.285,-1.92,4.536666667
633.303,-9.62,633.303,-24.85,633.303,2.08,-10.79666667
633.321,14.38,633.321,-10.85,633.321,3.08,2.203333333
633.339,28.38,633.339,11.15,633.339,12.08,17.20333333
633.356,27.38,633.356,28.15,633.356,23.08,26.20333333
633.374,14.38,633.374,18.15,633.374,16.08,16.20333333
633.392,1.38,633.392,2.15,633.392,0.08,1.203333333
633.41,6.38,633.41,-2.85,633.41,-6.92,-1.13
633.428,12.38,633.428,16.15,633.428,16.08,14.87
633.446,3.38,633.446,2.15,633.446,7.08,4.203333333
633.463,-5.62,633.463,5.15,633.463,-7.92,-2.796666667
633.481,-2.62,633.481,-6.85,633.481,-12.92,-7.463333333
633.499,-10.62,633.499,-16.85,633.499,-8.92,-12.13
633.517,-13.62,633.517,13.15,633.517,7.08,2.203333333
633.535,-13.62,633.535,7.15,633.535,0.08,-2.13
633.552,0.38,633.552,4.15,633.552,4.08,2.87
633.57,-2.62,633.57,-4.85,633.57,18.08,3.536666667
633.588,6.38,633.588,-6.85,633.588,-4.92,-1.796666667
633.606,1.38,633.606,-10.85,633.606,-19.92,-9.796666667
633.624,3.38,633.624,2.15,633.624,12.08,5.87
633.641,9.38,633.641,1.15,633.641,19.08,9.87
633.659,6.38,633.659,-6.85,633.659,2.08,0.5366666667
633.677,-9.62,633.677,-1.85,633.677,-4.92,-5.463333333
633.695,6.38,633.695,10.15,633.695,7.08,7.87
633.713,33.38,633.713,10.15,633.713,11.08,18.20333333
633.73,21.38,633.73,19.15,633.73,22.08,20.87
633.748,-9.62,633.748,-0.85,633.748,3.08,-2.463333333
633.766,-11.62,633.766,0.15,633.766,9.08,-0.7966666667
633.784,-2.62,633.784,10.15,633.784,10.08,5.87
633.802,-3.62,633.802,6.15,633.802,18.08,6.87
633.819,17.38,633.819,-10.85,633.819,10.08,5.536666667
633.837,-0.62,633.837,-8.85,633.837,-3.92,-4.463333333
633.855,-23.62,633.855,-20.85,633.855,-12.92,-19.13
633.873,-25.62,633.873,-8.85,633.873,-18.92,-17.79666667
633.89,-12.62,633.89,-9.85,633.89,-7.92,-10.13
633.908,3.38,633.908,3.15,633.908,-7.92,-0.4633333333
633.926,2.38,633.926,9.15,633.926,9.08,6.87
633.944,-4.62,633.944,2.15,633.944,2.08,-0.13
633.961,-10.62,633.961,5.15,633.961,10.08,1.536666667
633.979,-2.62,633.979,11.15,633.979,8.08,5.536666667
633.997,-16.62,633.997,-12.85,633.997,-8.92,-12.79666667
634.015,4.38,634.015,1.15,634.015,13.08,6.203333333
634.032,23.38,634.032,15.15,634.032,28.08,22.20333333
634.05,5.38,634.05,29.15,634.05,11.08,15.20333333
634.068,-21.62,634.068,3.15,634.068,-3.92,-7.463333333
634.086,3.38,634.086,20.15,634.086,15.08,12.87
634.103,6.38,634.103,18.15,634.103,10.08,11.53666667
634.121,-13.62,634.121,-13.85,634.121,6.08,-7.13
634.139,-0.62,634.139,5.15,634.139,11.08,5.203333333
634.157,4.38,634.157,16.15,634.157,14.08,11.53666667
634.174,-8.62,634.174,19.15,634.174,6.08,5.536666667
634.192,6.38,634.192,11.15,634.192,1.08,6.203333333
634.21,-0.62,634.21,11.15,634.21,7.08,5.87
634.227,8.38,634.227,20.15,634.227,18.08,15.53666667
634.245,7.38,634.245,17.15,634.245,29.08,17.87
634.263,5.38,634.263,15.15,634.263,34.08,18.20333333
634.281,4.38,634.281,25.15,634.281,21.08,16.87
