HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
656.152,15.08,656.152,15.77,656.152,12.92,14.59,,,,,,,,,
656.167,17.08,656.167,35.77,656.167,30.92,27.92333333,,,,,,,,,
656.181,6.08,656.181,17.77,656.181,14.92,12.92333333,,,,,,,,,
656.195,23.08,656.195,23.77,656.195,9.92,18.92333333,,,,,,,,,
656.21,34.08,656.21,9.77,656.21,4.92,16.25666667,,,,,,,,,
656.224,25.08,656.224,4.77,656.224,8.92,12.92333333,,,,,,,,,
656.238,25.08,656.238,20.77,656.238,10.92,18.92333333,,,,,,,,,
656.253,21.08,656.253,25.77,656.253,14.92,20.59,,,,,,,,,
656.267,30.08,656.267,23.77,656.267,20.92,24.92333333,,,,,,,,,
656.281,-2.92,656.281,11.77,656.281,9.92,6.256666667,,,,,,,,,
656.296,23.08,656.296,21.77,656.296,14.92,19.92333333,,,,,,,,,
656.31,21.08,656.31,11.77,656.31,17.92,16.92333333,,,,,,,,,
656.324,14.08,656.324,22.77,656.324,15.92,17.59,,,,,,,,,
656.339,43.08,656.339,36.77,656.339,23.92,34.59,,,,,,,,,
656.353,27.08,656.353,16.77,656.353,22.92,22.25666667,,,,,,,,,
656.367,19.08,656.367,14.77,656.367,1.92,11.92333333,,,,,,,,,
656.382,2.08,656.382,-3.23,656.382,-12.08,-4.41,,,,,,,,,
656.396,-2.92,656.396,2.77,656.396,5.92,1.923333333,,,,,,,,,
656.41,-8.92,656.41,3.77,656.41,-1.08,-2.076666667,,,,,,,,,
656.425,-7.92,656.425,15.77,656.425,-0.08,2.59,,,,,,,,,
656.439,5.08,656.439,19.77,656.439,-3.08,7.256666667,,,,,,,,,
656.453,14.08,656.453,11.77,656.453,-8.08,5.923333333,,,,,,,,,
656.468,5.08,656.468,6.77,656.468,0.92,4.256666667,,,,,,,,,
656.482,3.08,656.482,7.77,656.482,2.92,4.59,,,,,,,,,
656.496,4.08,656.496,0.77,656.496,2.92,2.59,,,,,,,,,
656.51,11.08,656.51,6.77,656.51,13.92,10.59,,,,,,,,,
656.525,12.08,656.525,13.77,656.525,5.92,10.59,,,,,,,,,
656.539,10.08,656.539,9.77,656.539,2.92,7.59,,,,,,,,,
656.553,-9.92,656.553,-0.23,656.553,-17.08,-9.076666667,,,,,,,,,
656.568,-0.92,656.568,-0.23,656.568,-4.08,-1.743333333,,,,,,,,,
656.582,2.08,656.582,9.77,656.582,17.92,9.923333333,,,,,,,,,
656.596,5.08,656.596,5.77,656.596,11.92,7.59,,,,,,,,,
656.611,-10.92,656.611,-7.23,656.611,-5.08,-7.743333333,,,,,,,,,
656.625,1.08,656.625,-2.23,656.625,-2.08,-1.076666667,,,,,,,,,
656.639,2.08,656.639,2.77,656.639,11.92,5.59,,,,,,,,,
656.653,10.08,656.653,11.77,656.653,-0.08,7.256666667,,,,,,,,,
656.668,4.08,656.668,8.77,656.668,-4.08,2.923333333,,,,,,,,,
656.682,0.08,656.682,-0.23,656.682,-11.08,-3.743333333,,,,,,,,,
656.696,-1.92,656.696,1.77,656.696,0.92,0.2566666667,,,,,,,,,
656.71,-5.92,656.71,9.77,656.71,-3.08,0.2566666667,,,,,,,,,
656.725,12.08,656.725,9.77,656.725,1.92,7.923333333,,,,,,,,,
656.739,5.08,656.739,10.77,656.739,5.92,7.256666667,,,,,,,,,
656.753,8.08,656.753,8.77,656.753,15.92,10.92333333,,,,,,,,,
656.767,0.08,656.767,-8.23,656.767,1.92,-2.076666667,,,,,,,,,
656.782,5.08,656.782,3.77,656.782,-3.08,1.923333333,,,,,,,,,
656.796,32.08,656.796,4.77,656.796,6.92,14.59,,,,,,,,,
656.81,33.08,656.81,20.77,656.81,30.92,28.25666667,,,,,,,,,
656.824,-0.92,656.824,2.77,656.824,3.92,1.923333333,,,,,,,,,
656.839,2.08,656.839,17.77,656.839,4.92,8.256666667,,,,,,,,,
656.853,19.08,656.853,8.77,656.853,13.92,13.92333333,,,,,,,,,
656.867,9.08,656.867,10.77,656.867,-5.08,4.923333333,,,,,,,,,
656.881,11.08,656.881,17.77,656.881,0.92,9.923333333,,,,,,,,,
656.896,-4.92,656.896,13.77,656.896,1.92,3.59,,,,,,,,,
656.91,-0.92,656.91,13.77,656.91,-7.08,1.923333333,,,,,,,,,
656.924,9.08,656.924,10.77,656.924,2.92,7.59,,,,,,,,,
656.938,13.08,656.938,13.77,656.938,-2.08,8.256666667,,,,,,,,,
656.953,19.08,656.953,15.77,656.953,7.92,14.25666667,,,,,,,,,
656.967,-1.92,656.967,4.77,656.967,9.92,4.256666667,,,,,,,,,
656.981,1.08,656.981,14.77,656.981,23.92,13.25666667,,,,,,,,,
656.995,-19.92,656.995,-2.23,656.995,3.92,-6.076666667,,,,,,,,,
