time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,16,1,11,1,11
2,4,2,8,2,8
3,10,3,9,3,7
4,6,4,4,4,17
5,11,5,12,5,9
6,7,6,18,6,12
7,10,7,10,7,9
8,7,8,10,8,11
9,17,9,9,9,6
10,10,10,7,10,5
11,6,11,18,11,10
12,11,12,10,12,9
13,8,13,9,13,7
14,8,14,9,14,8
15,8,15,10,15,11
16,10,16,10,16,7
17,8,17,7,17,15
18,11,18,9,18,14
19,7,19,8,19,6
20,13,20,5,20,9
21,4,21,7,21,8
22,13,22,8,22,14
23,12,23,11,23,9
24,9,24,10,24,13
25,10,25,9,25,8
26,6,26,9,26,11
27,11,27,9,27,9
28,13,28,13,28,10
29,17,29,9,29,8
30,9,30,7,30,12
31,8,31,5,31,5
32,6,32,12,32,7
33,7,33,11,33,11
34,9,34,9,34,11
35,7,35,11,35,10
36,6,36,9,36,11
37,7,37,15,37,15
38,12,38,4,38,13
39,5,39,11,39,8
40,11,40,4,40,9
41,9,41,6,41,6
42,12,42,10,42,9
43,9,43,11,43,8
44,7,44,8,44,10
45,7,45,9,45,16
46,7,46,13,46,11
47,10,47,11,47,15
48,11,48,10,48,6
49,7,49,9,49,8
50,5,50,8,50,11
51,13,51,10,51,10
52,8,52,5,52,8
53,9,53,14,53,12
54,6,54,13,54,7
55,16,55,12,55,10
56,4,56,15,56,10
57,8,57,10,57,12
58,7,58,8,58,7
59,15,59,4,59,10
60,10,60,10,60,12
61,7,61,14,61,12
62,5,62,7,62,9
63,11,63,7,63,9
64,11,64,10,64,7
65,18,65,8,65,15
66,13,66,4,66,8
67,15,67,13,67,5
68,5,68,12,68,10
69,13,69,15,69,10
70,9,70,10,70,12
71,9,71,13,71,16
72,9,72,14,72,8
73,10,73,12,73,7
74,13,74,9,74,8
75,11,75,11,75,6
76,3,76,7,76,12
77,8,77,9,77,6
78,12,78,13,78,6
79,8,79,11,79,8
80,8,80,7,80,9
81,12,81,6,81,12
82,5,82,12,82,7
83,9,83,8,83,12
84,11,84,11,84,10
85,10,85,10,85,9
86,8,86,7,86,10
87,8,87,11,87,15
88,14,88,13,88,6
89,8,89,11,89,11
90,13,90,12,90,14
91,11,91,8,91,10
92,13,92,16,92,9
93,7,93,9,93,7
94,14,94,6,94,7
95,11,95,10,95,12
96,9,96,7,96,13
97,14,97,8,97,7
98,7,98,7,98,9
99,11,99,7,99,3
100,8,100,12,100,8
101,14,101,12,101,6
102,8,102,4,102,9
103,8,103,7,103,7
104,10,104,11,104,9
105,14,105,8,105,10
106,9,106,13,106,4
107,12,107,11,107,9
108,8,108,9,108,10
109,9,109,9,109,15
110,8,110,13,110,8
111,8,111,13,111,14
112,9,112,9,112,7
113,5,113,6,113,7
114,7,114,13,114,8
115,7,115,10,115,10
116,11,116,7,116,7
117,12,117,13,117,8
118,4,118,8,118,9
119,6,119,13,119,10
120,14,120,8,120,5
121,8,121,9,121,7
122,12,122,7,122,14
123,4,123,9,123,9
124,14,124,7,124,11
125,8,125,14,125,13
126,8,126,7,126,10
127,8,127,15,127,11
128,8,128,6,128,6
129,8,129,6,129,6
130,6,130,1,130,14
131,6,131,9,131,9
132,6,132,7,132,9
133,5,133,16,133,9
134,8,134,11,134,5
135,6,135,14,135,9
136,5,136,10,136,5
137,9,137,18,137,10
138,9,138,9,138,4
139,11,139,7,139,11
140,9,140,6,140,12
141,6,141,10,141,8
142,13,142,15,142,7
143,11,143,7,143,7
144,5,144,3,144,11
145,14,145,9,145,10
146,9,146,7,146,14
147,12,147,15,147,13
148,9,148,8,148,10
149,7,149,6,149,10
150,11,150,8,150,12
151,7,151,4,151,11
152,8,152,9,152,10
153,10,153,5,153,10
154,14,154,13,154,8
155,10,155,11,155,10
156,7,156,8,156,13
157,13,157,6,157,10
158,9,158,14,158,10
159,6,159,11,159,11
160,2,160,9,160,4
161,9,161,11,161,11
162,6,162,11,162,7
163,14,163,10,163,2
164,14,164,9,164,12
165,7,165,7,165,13
166,10,166,10,166,13
167,17,167,5,167,12
168,4,168,7,168,7
169,10,169,7,169,7
170,9,170,10,170,8
171,8,171,7,171,10
172,6,172,7,172,12
173,9,173,9,173,15
174,7,174,9,174,10
175,9,175,9,175,10
176,11,176,8,176,13
177,4,177,6,177,2
178,11,178,5,178,10
179,5,179,8,179,13
180,7,180,4,180,14
181,11,181,7,181,10
182,12,182,7,182,10
183,9,183,7,183,16
184,14,184,6,184,10
185,8,185,8,185,9
186,9,186,11,186,8
187,6,187,9,187,3
188,6,188,14,188,11
189,8,189,9,189,6
190,6,190,11,190,7
191,6,191,6,191,8
192,10,192,14,192,8
193,8,193,11,193,8
194,13,194,10,194,8
195,7,195,10,195,11
196,13,196,13,196,6
197,5,197,8,197,6
198,9,198,9,198,12
199,15,199,6,199,7
200,10,200,6,200,14
