time1,count1,time2,count2,time3,count3
0,1,0,0,0,1
1,20,1,22,1,30
2,25,2,27,2,24
3,24,3,18,3,22
4,20,4,28,4,28
5,27,5,20,5,27
6,30,6,21,6,17
7,20,7,23,7,19
8,29,8,23,8,28
9,26,9,19,9,13
10,24,10,30,10,20
11,16,11,23,11,22
12,33,12,22,12,14
13,19,13,27,13,27
14,20,14,25,14,27
15,28,15,30,15,21
16,17,16,29,16,18
17,21,17,28,17,22
18,18,18,33,18,18
19,18,19,18,19,21
20,15,20,23,20,27
21,17,21,29,21,19
22,20,22,19,22,20
23,16,23,17,23,20
24,21,24,26,24,18
25,16,25,21,25,15
26,25,26,14,26,16
27,17,27,21,27,17
28,20,28,21,28,22
29,26,29,24,29,18
30,22,30,21,30,25
31,16,31,20,31,18
32,21,32,23,32,23
33,23,33,16,33,26
34,23,34,19,34,17
35,23,35,23,35,19
36,24,36,28,36,24
37,25,37,23,37,22
38,20,38,25,38,32
39,22,39,18,39,16
40,17,40,18,40,26
41,22,41,16,41,22
42,24,42,21,42,23
43,22,43,20,43,25
44,25,44,21,44,23
45,21,45,27,45,22
46,20,46,29,46,28
47,27,47,27,47,31
48,22,48,17,48,22
49,26,49,29,49,19
50,16,50,24,50,19
51,22,51,27,51,24
52,24,52,22,52,25
53,26,53,25,53,17
54,22,54,27,54,32
55,21,55,13,55,17
56,24,56,28,56,23
57,21,57,22,57,21
58,18,58,23,58,27
59,17,59,18,59,27
60,24,60,22,60,16
61,19,61,30,61,25
62,27,62,22,62,23
63,26,63,16,63,16
64,15,64,16,64,22
65,23,65,17,65,21
66,27,66,18,66,26
67,27,67,21,67,20
68,24,68,28,68,24
69,23,69,23,69,20
70,30,70,24,70,20
71,16,71,15,71,15
72,26,72,20,72,20
73,15,73,23,73,15
74,17,74,25,74,19
75,23,75,18,75,16
76,33,76,20,76,17
77,28,77,22,77,17
78,21,78,22,78,27
79,21,79,23,79,33
80,22,80,27,80,14
81,21,81,23,81,21
82,21,82,15,82,16
83,18,83,24,83,24
84,26,84,27,84,22
85,29,85,13,85,30
86,20,86,17,86,30
87,23,87,18,87,17
88,18,88,23,88,31
89,12,89,18,89,20
90,25,90,24,90,22
91,27,91,19,91,19
92,16,92,26,92,18
93,24,93,20,93,24
94,34,94,15,94,20
95,16,95,16,95,24
96,30,96,17,96,13
97,33,97,24,97,23
98,21,98,19,98,27
99,23,99,23,99,22
100,23,100,25,100,26
101,30,101,27,101,21
102,16,102,26,102,20
103,26,103,19,103,15
104,24,104,24,104,23
105,24,105,28,105,21
106,27,106,25,106,21
107,22,107,19,107,27
108,19,108,19,108,28
109,24,109,10,109,15
110,19,110,21,110,23
111,31,111,23,111,22
112,20,112,23,112,20
113,30,113,24,113,26
114,20,114,24,114,29
115,20,115,21,115,25
116,16,116,19,116,32
117,22,117,17,117,24
118,22,118,23,118,11
119,20,119,18,119,26
120,24,120,27,120,24
121,25,121,22,121,33
122,17,122,26,122,18
123,23,123,23,123,18
124,20,124,20,124,25
125,20,125,17,125,25
126,30,126,15,126,23
127,20,127,25,127,22
128,23,128,21,128,18
129,23,129,30,129,28
130,28,130,25,130,20
131,25,131,27,131,20
132,21,132,20,132,24
133,25,133,22,133,20
134,21,134,28,134,20
135,29,135,14,135,22
136,21,136,27,136,26
137,25,137,19,137,24
138,21,138,21,138,24
139,22,139,25,139,21
140,26,140,19,140,23
141,27,141,25,141,27
142,19,142,21,142,17
143,25,143,20,143,28
144,23,144,27,144,12
145,23,145,31,145,16
146,32,146,28,146,23
147,33,147,22,147,16
148,25,148,22,148,24
149,24,149,19,149,22
150,24,150,24,150,25
151,26,151,18,151,23
152,21,152,24,152,13
153,26,153,20,153,14
154,17,154,25,154,23
155,23,155,20,155,22
156,17,156,21,156,22
157,25,157,23,157,20
158,29,158,27,158,31
159,21,159,18,159,23
160,21,160,14,160,25
161,18,161,20,161,30
162,18,162,21,162,19
163,21,163,28,163,16
164,21,164,24,164,16
165,23,165,20,165,30
166,23,166,19,166,22
167,20,167,15,167,19
168,22,168,17,168,27
169,24,169,22,169,20
170,26,170,15,170,19
171,22,171,22,171,16
172,32,172,15,172,23
173,13,173,17,173,14
174,30,174,19,174,24
175,25,175,28,175,22
176,29,176,12,176,19
177,26,177,26,177,20
178,20,178,20,178,34
179,17,179,17,179,18
180,17,180,31,180,26
181,25,181,16,181,18
182,21,182,17,182,18
183,27,183,26,183,27
184,25,184,23,184,28
185,18,185,26,185,20
186,22,186,27,186,18
187,28,187,24,187,32
188,23,188,14,188,18
189,19,189,19,189,36
190,21,190,29,190,15
191,29,191,17,191,17
192,19,192,25,192,22
193,23,193,27,193,16
194,25,194,24,194,12
195,25,195,21,195,24
196,18,196,18,196,18
197,25,197,23,197,25
198,25,198,27,198,17
199,19,199,17,199,13
200,22,200,21,200,23
