time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,19,1,22,1,18
2,15,2,25,2,20
3,19,3,21,3,19
4,14,4,12,4,18
5,23,5,21,5,15
6,14,6,18,6,18
7,15,7,20,7,20
8,20,8,21,8,9
9,23,9,20,9,25
10,28,10,15,10,21
11,17,11,26,11,11
12,22,12,23,12,16
13,22,13,24,13,12
14,19,14,17,14,22
15,14,15,20,15,15
16,25,16,29,16,18
17,23,17,25,17,16
18,18,18,24,18,13
19,16,19,21,19,23
20,24,20,17,20,22
21,12,21,16,21,16
22,19,22,19,22,12
23,21,23,18,23,15
24,15,24,17,24,19
25,21,25,24,25,20
26,17,26,21,26,12
27,21,27,26,27,14
28,16,28,15,28,19
29,25,29,17,29,22
30,18,30,16,30,15
31,17,31,17,31,11
32,26,32,22,32,18
33,12,33,12,33,18
34,22,34,13,34,15
35,15,35,27,35,10
36,12,36,18,36,14
37,13,37,15,37,17
38,12,38,16,38,14
39,20,39,22,39,20
40,13,40,21,40,15
41,20,41,17,41,14
42,23,42,10,42,13
43,12,43,20,43,21
44,23,44,21,44,14
45,27,45,19,45,25
46,23,46,14,46,13
47,17,47,16,47,16
48,24,48,12,48,16
49,16,49,26,49,23
50,16,50,19,50,22
51,13,51,15,51,20
52,20,52,24,52,6
53,18,53,18,53,17
54,13,54,14,54,18
55,16,55,19,55,15
56,29,56,21,56,10
57,26,57,18,57,20
58,18,58,22,58,14
59,17,59,19,59,16
60,21,60,21,60,16
61,22,61,24,61,25
62,22,62,19,62,18
63,16,63,16,63,17
64,20,64,15,64,17
65,16,65,18,65,22
66,23,66,15,66,24
67,15,67,15,67,14
68,21,68,11,68,8
69,19,69,17,69,17
70,11,70,22,70,17
71,16,71,14,71,13
72,22,72,17,72,22
73,21,73,21,73,15
74,17,74,19,74,18
75,19,75,16,75,22
76,21,76,31,76,17
77,18,77,24,77,20
78,22,78,21,78,10
79,12,79,15,79,21
80,11,80,23,80,25
81,20,81,15,81,10
82,21,82,18,82,19
83,24,83,13,83,19
84,21,84,14,84,18
85,11,85,14,85,22
86,15,86,18,86,23
87,18,87,13,87,17
88,17,88,17,88,11
89,10,89,18,89,16
90,20,90,23,90,19
91,20,91,21,91,19
92,19,92,25,92,14
93,14,93,27,93,21
94,24,94,17,94,15
95,21,95,18,95,17
96,12,96,22,96,23
97,15,97,21,97,14
98,18,98,25,98,14
99,10,99,14,99,18
100,17,100,21,100,15
101,11,101,17,101,18
102,12,102,22,102,17
103,13,103,22,103,23
104,15,104,11,104,15
105,17,105,19,105,12
106,24,106,12,106,17
107,21,107,22,107,9
108,23,108,21,108,13
109,23,109,23,109,15
110,21,110,19,110,19
111,11,111,22,111,19
112,22,112,13,112,14
113,13,113,22,113,15
114,13,114,12,114,17
115,11,115,21,115,20
116,20,116,25,116,21
117,20,117,25,117,12
118,28,118,19,118,23
119,19,119,25,119,22
120,22,120,13,120,15
121,17,121,12,121,19
122,15,122,13,122,20
123,23,123,22,123,18
124,22,124,18,124,23
125,27,125,21,125,18
126,20,126,29,126,12
127,22,127,21,127,23
128,19,128,17,128,15
129,20,129,30,129,27
130,13,130,19,130,17
131,20,131,12,131,22
132,12,132,17,132,14
133,17,133,16,133,15
134,11,134,20,134,14
135,13,135,21,135,15
136,25,136,22,136,13
137,16,137,18,137,12
138,18,138,20,138,19
139,19,139,18,139,13
140,23,140,18,140,23
141,18,141,24,141,18
142,21,142,21,142,20
143,23,143,20,143,20
144,15,144,19,144,13
145,26,145,25,145,13
146,17,146,16,146,20
147,19,147,16,147,15
148,25,148,16,148,16
149,22,149,16,149,24
150,17,150,22,150,16
151,26,151,21,151,18
152,19,152,27,152,19
153,17,153,19,153,17
154,23,154,12,154,16
155,13,155,28,155,22
156,22,156,10,156,30
157,20,157,11,157,17
158,14,158,21,158,20
159,24,159,18,159,14
160,16,160,18,160,15
161,20,161,21,161,16
162,27,162,15,162,12
163,26,163,21,163,20
164,15,164,15,164,17
165,14,165,24,165,21
166,24,166,15,166,21
167,18,167,20,167,16
168,22,168,18,168,19
169,19,169,15,169,13
170,19,170,16,170,17
171,21,171,17,171,23
172,27,172,25,172,21
173,15,173,21,173,16
174,29,174,23,174,20
175,16,175,21,175,18
176,12,176,17,176,19
177,23,177,31,177,19
178,29,178,22,178,17
179,22,179,17,179,18
180,18,180,20,180,13
181,25,181,19,181,13
182,16,182,15,182,18
183,17,183,14,183,17
184,22,184,14,184,11
185,16,185,20,185,22
186,17,186,13,186,13
187,19,187,19,187,17
188,14,188,15,188,21
189,18,189,16,189,18
190,17,190,18,190,21
191,27,191,20,191,15
192,22,192,17,192,13
193,20,193,14,193,20
194,22,194,19,194,18
195,19,195,22,195,22
196,14,196,14,196,14
197,14,197,15,197,16
198,24,198,24,198,18
199,19,199,19,199,19
200,24,200,16,200,19
