time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,38,1,38,1,49
2,42,2,42,2,47
3,53,3,53,3,54
4,35,4,35,4,48
5,41,5,41,5,46
6,43,6,43,6,45
7,46,7,46,7,41
8,44,8,44,8,47
9,46,9,46,9,38
10,50,10,50,10,55
11,42,11,42,11,46
12,44,12,44,12,50
13,45,13,45,13,38
14,47,14,47,14,41
15,47,15,47,15,49
16,48,16,48,16,35
17,45,17,45,17,51
18,37,18,37,18,48
19,51,19,51,19,52
20,57,20,57,20,47
21,36,21,36,21,41
22,46,22,46,22,37
23,53,23,53,23,59
24,37,24,37,24,41
25,48,25,48,25,36
26,43,26,43,26,47
27,47,27,47,27,52
28,49,28,49,28,56
29,48,29,48,29,34
30,55,30,55,30,45
31,45,31,45,31,38
32,38,32,38,32,55
33,48,33,48,33,28
34,41,34,41,34,45
35,36,35,36,35,44
36,44,36,44,36,50
37,48,37,48,37,51
38,40,38,40,38,53
39,51,39,51,39,45
40,55,40,55,40,48
41,39,41,39,41,56
42,59,42,59,42,38
43,57,43,57,43,39
44,53,44,53,44,43
45,47,45,47,45,52
46,38,46,38,46,40
47,44,47,44,47,48
48,43,48,43,48,55
49,44,49,44,49,33
50,34,50,34,50,48
51,54,51,54,51,42
52,39,52,39,52,40
53,40,53,40,53,41
54,36,54,36,54,45
55,43,55,43,55,40
56,58,56,58,56,51
57,44,57,44,57,45
58,33,58,33,58,41
59,43,59,43,59,45
60,58,60,58,60,46
61,38,61,38,61,44
62,26,62,26,62,51
63,32,63,32,63,49
64,35,64,35,64,40
65,43,65,43,65,48
66,43,66,43,66,44
67,44,67,44,67,42
68,40,68,40,68,41
69,33,69,33,69,47
70,43,70,43,70,38
71,44,71,44,71,46
72,41,72,41,72,46
73,43,73,43,73,39
74,41,74,41,74,54
75,39,75,39,75,49
76,44,76,44,76,42
77,31,77,31,77,49
78,53,78,53,78,46
79,39,79,39,79,48
80,51,80,51,80,47
81,47,81,47,81,46
82,43,82,43,82,43
83,40,83,40,83,41
84,35,84,35,84,47
85,38,85,38,85,40
86,43,86,43,86,52
87,36,87,36,87,48
88,30,88,30,88,42
89,44,89,44,89,43
90,41,90,41,90,50
91,49,91,49,91,37
92,40,92,40,92,43
93,45,93,45,93,51
94,34,94,34,94,52
95,44,95,44,95,49
96,47,96,47,96,42
97,28,97,28,97,43
98,39,98,39,98,51
99,42,99,42,99,39
100,34,100,34,100,33
101,50,101,50,101,41
102,37,102,37,102,47
103,41,103,41,103,42
104,51,104,51,104,27
105,48,105,48,105,46
106,54,106,54,106,42
107,35,107,35,107,36
108,37,108,37,108,62
109,51,109,51,109,52
110,46,110,46,110,45
111,31,111,31,111,44
112,52,112,52,112,50
113,45,113,45,113,49
114,39,114,39,114,42
115,38,115,38,115,46
116,47,116,47,116,52
117,30,117,30,117,47
118,44,118,44,118,35
119,50,119,50,119,47
120,29,120,29,120,49
121,43,121,43,121,31
122,43,122,43,122,41
123,47,123,47,123,31
124,39,124,39,124,38
125,42,125,42,125,49
126,44,126,44,126,52
127,34,127,34,127,36
128,42,128,42,128,57
129,50,129,50,129,41
130,38,130,38,130,42
131,38,131,38,131,35
132,50,132,50,132,46
133,50,133,50,133,40
134,40,134,40,134,52
135,37,135,37,135,47
136,44,136,44,136,47
137,46,137,46,137,55
138,43,138,43,138,36
139,38,139,38,139,41
140,37,140,37,140,40
141,42,141,42,141,45
142,27,142,27,142,42
143,64,143,64,143,41
144,47,144,47,144,47
145,46,145,46,145,43
146,51,146,51,146,44
147,53,147,53,147,43
148,41,148,41,148,50
149,44,149,44,149,40
150,43,150,43,150,41
151,40,151,40,151,51
152,34,152,34,152,46
153,48,153,48,153,37
154,46,154,46,154,44
155,44,155,44,155,45
156,35,156,35,156,45
157,46,157,46,157,48
158,56,158,56,158,44
159,60,159,60,159,49
160,40,160,40,160,52
161,43,161,43,161,56
162,48,162,48,162,40
163,37,163,37,163,41
164,45,164,45,164,55
165,32,165,32,165,51
166,46,166,46,166,52
167,36,167,36,167,40
168,46,168,46,168,55
169,46,169,46,169,36
170,38,170,38,170,54
171,48,171,48,171,41
172,44,172,44,172,44
173,41,173,41,173,37
174,38,174,38,174,40
175,45,175,45,175,56
176,47,176,47,176,49
177,43,177,43,177,43
178,36,178,36,178,44
179,35,179,35,179,45
180,50,180,50,180,45
181,40,181,40,181,45
182,39,182,39,182,42
183,39,183,39,183,42
184,46,184,46,184,42
185,49,185,49,185,43
186,48,186,48,186,43
187,45,187,45,187,47
188,44,188,44,188,35
189,40,189,40,189,46
190,46,190,46,190,39
191,46,191,46,191,49
192,41,192,41,192,45
193,41,193,41,193,43
194,47,194,47,194,51
195,50,195,50,195,33
196,51,196,51,196,43
197,37,197,37,197,33
198,40,198,40,198,44
199,39,199,39,199,42
200,51,200,51,200,42
