time1,count1,time2,count2,time3,count3
0,0,0,0,0,0
1,4,1,6,1,1
2,2,2,6,2,2
3,1,3,4,3,1
4,0,4,5,4,1
5,3,5,3,5,5
6,2,6,1,6,2
7,2,7,3,7,0
8,1,8,2,8,1
9,3,9,2,9,3
10,2,10,1,10,2
11,4,11,2,11,3
12,4,12,1,12,1
13,2,13,2,13,3
14,3,14,5,14,2
15,2,15,4,15,2
16,6,16,1,16,5
17,4,17,4,17,4
18,4,18,1,18,3
19,3,19,1,19,0
20,3,20,4,20,4
21,3,21,1,21,1
22,2,22,5,22,0
23,2,23,2,23,1
24,2,24,2,24,2
25,2,25,4,25,2
26,3,26,6,26,4
27,2,27,2,27,3
28,0,28,2,28,1
29,0,29,3,29,0
30,5,30,1,30,3
31,3,31,4,31,5
32,4,32,1,32,0
33,2,33,2,33,3
34,2,34,3,34,4
35,3,35,1,35,5
36,4,36,3,36,1
37,2,37,1,37,3
38,1,38,2,38,0
39,2,39,1,39,4
40,3,40,4,40,3
41,8,41,2,41,4
42,3,42,3,42,5
43,1,43,3,43,3
44,2,44,4,44,3
45,2,45,1,45,4
46,1,46,2,46,5
47,2,47,1,47,6
48,2,48,4,48,5
49,1,49,3,49,3
50,0,50,1,50,1
51,1,51,3,51,2
52,3,52,2,52,3
53,1,53,2,53,5
54,1,54,4,54,3
55,5,55,2,55,4
56,3,56,3,56,3
57,3,57,3,57,5
58,2,58,3,58,4
59,1,59,3,59,2
60,2,60,5,60,2
61,2,61,6,61,3
62,1,62,2,62,2
63,3,63,2,63,2
64,2,64,0,64,5
65,6,65,4,65,5
66,3,66,3,66,1
67,1,67,0,67,1
68,3,68,1,68,3
69,1,69,4,69,3
70,2,70,2,70,3
71,4,71,4,71,1
72,3,72,5,72,3
73,4,73,3,73,0
74,1,74,2,74,4
75,2,75,2,75,5
76,5,76,5,76,2
77,2,77,3,77,2
78,4,78,4,78,1
79,3,79,4,79,2
80,3,80,4,80,1
81,8,81,2,81,3
82,1,82,1,82,4
83,6,83,4,83,5
84,3,84,4,84,2
85,9,85,3,85,3
86,4,86,0,86,1
87,2,87,2,87,2
88,6,88,4,88,5
89,1,89,4,89,1
90,4,90,5,90,4
91,2,91,3,91,1
92,3,92,2,92,0
93,2,93,2,93,2
94,3,94,2,94,6
95,4,95,4,95,0
96,1,96,3,96,3
97,1,97,5,97,3
98,1,98,2,98,1
99,3,99,5,99,4
100,2,100,3,100,1
101,4,101,3,101,1
102,2,102,2,102,2
103,0,103,6,103,1
104,3,104,4,104,2
105,1,105,3,105,1
106,5,106,2,106,3
107,5,107,1,107,4
108,4,108,3,108,2
109,1,109,1,109,1
110,6,110,1,110,2
111,4,111,3,111,3
112,3,112,5,112,2
113,0,113,3,113,1
114,1,114,3,114,2
115,2,115,5,115,1
116,1,116,4,116,1
117,2,117,1,117,2
118,3,118,3,118,5
119,3,119,2,119,1
120,1,120,0,120,2
121,1,121,6,121,6
122,1,122,5,122,3
123,3,123,5,123,3
124,4,124,0,124,4
125,1,125,4,125,3
126,3,126,5,126,2
127,1,127,4,127,3
128,1,128,2,128,3
129,1,129,3,129,1
130,1,130,2,130,3
131,4,131,5,131,3
132,5,132,1,132,3
133,1,133,2,133,1
134,4,134,4,134,2
135,0,135,2,135,0
136,1,136,3,136,1
137,3,137,1,137,1
138,0,138,1,138,1
139,3,139,6,139,3
140,5,140,1,140,1
141,4,141,4,141,1
142,3,142,1,142,1
143,3,143,1,143,1
144,2,144,5,144,2
145,2,145,3,145,1
146,0,146,5,146,3
147,3,147,2,147,4
148,1,148,3,148,1
149,2,149,1,149,5
150,3,150,3,150,4
151,6,151,5,151,2
152,2,152,4,152,2
153,6,153,3,153,3
154,3,154,3,154,1
155,2,155,3,155,4
156,4,156,6,156,4
157,6,157,3,157,2
158,1,158,4,158,3
159,5,159,2,159,4
160,2,160,2,160,4
161,3,161,2,161,1
162,0,162,3,162,3
163,5,163,2,163,5
164,1,164,1,164,0
165,1,165,2,165,5
166,3,166,5,166,3
167,1,167,3,167,5
168,3,168,7,168,1
169,1,169,5,169,7
170,4,170,0,170,2
171,3,171,4,171,4
172,2,172,3,172,5
173,2,173,2,173,1
174,2,174,3,174,3
175,2,175,3,175,5
176,1,176,3,176,2
177,2,177,3,177,2
178,3,178,1,178,5
179,2,179,4,179,2
180,4,180,0,180,3
181,3,181,4,181,1
182,3,182,1,182,0
183,1,183,3,183,5
184,1,184,1,184,2
185,1,185,0,185,0
186,3,186,2,186,2
187,4,187,4,187,2
188,2,188,5,188,2
189,2,189,3,189,0
190,3,190,2,190,3
191,3,191,3,191,8
192,4,192,0,192,4
193,4,193,0,193,3
194,5,194,2,194,3
195,1,195,2,195,1
196,0,196,3,196,3
197,1,197,2,197,2
198,2,198,2,198,5
199,5,199,1,199,2
200,4,200,1,200,6
