Na22,Cs137,Co60,Co57,Mn54,Ba133
810,695,1707,13,1942,55
794,676,1735,12,2165,51
800,643,1753,15,2334,35
790,549,1713,7,2425,49
820,587,1800,10,2568,39
801,529,1777,10,2788,42
819,552,1752,11,2747,34
766,531,1726,8,2880,39
784,516,1666,11,2888,31
777,501,1710,10,2937,37
860,454,1784,16,2903,35
820,505,1763,14,2980,28
774,473,1724,10,2890,30
735,449,1787,9,2772,19
741,471,1763,6,2711,21
788,455,1747,5,2683,17
781,464,1751,4,2475,13
771,463,1796,6,2300,26
722,439,1696,5,2193,13
747,415,1731,10,2008,22
718,464,1751,7,1789,24
694,422,1639,11,1619,16
760,387,1724,9,1472,12
734,419,1724,7,1226,16
741,402,1746,12,1132,12
739,371,1696,6,976,13
672,369,1738,4,795,11
732,386,1684,5,721,12
748,392,1719,7,657,17
802,419,1626,8,547,9
742,378,1598,3,499,16
763,380,1643,8,397,11
732,378,1612,6,364,13
733,370,1509,9,317,13
731,379,1655,6,267,11
723,370,1574,4,223,11
711,346,1596,2,198,7
765,352,1511,6,199,9
736,327,1561,5,147,11
717,370,1529,5,133,4
741,313,1533,9,107,6
722,338,1534,5,94,10
736,314,1500,8,93,9
738,293,1546,5,95,10
765,331,1509,6,65,12
709,301,1472,6,58,15
698,290,1527,6,69,10
677,322,1483,5,59,7
711,282,1470,4,61,4
663,308,1525,8,63,8
658,286,1419,5,48,11
708,298,1444,7,47,9
706,279,1437,7,47,4
711,290,1522,3,54,6
639,276,1444,6,54,10
667,261,1491,7,43,7
665,264,1574,4,59,5
639,279,1596,3,40,11
647,249,1517,7,58,5
644,268,1570,6,43,4
660,281,1594,4,44,8
644,263,1619,3,33,8
593,220,1598,6,38,8
595,216,1671,2,47,6
588,256,1680,10,29,10
568,256,1704,3,49,9
566,231,1796,8,38,5
571,247,1808,0,39,7
532,231,1934,4,44,3
561,222,1959,5,43,8
528,247,1983,5,43,6
559,245,1968,4,41,11
522,243,2156,5,28,3
562,215,2169,8,38,3
492,244,2161,3,29,7
509,207,2214,12,53,5
494,229,2391,8,41,5
515,221,2388,6,31,6
499,199,2491,6,35,4
463,186,2737,6,38,5
507,220,2819,2,33,2
456,195,2936,6,35,3
510,188,2926,7,39,9
518,179,2997,6,39,12
514,203,2943,8,47,1
547,193,3188,2,32,3
512,220,3124,6,30,2
557,191,3269,12,39,5
514,197,3324,9,27,3
562,202,3357,11,28,1
549,176,3509,2,36,3
610,163,3506,3,41,6
637,171,3418,8,36,5
709,170,3475,7,31,4
657,177,3554,5,21,4
691,192,3553,6,34,2
721,173,3427,8,37,2
821,160,3367,5,18,3
756,176,3468,6,35,2
775,172,3366,3,24,1
849,184,3297,3,40,7
876,170,3338,4,33,7
906,183,3110,5,31,3
952,149,3161,4,25,6
947,205,3082,5,30,7
1011,160,2958,3,32,4
1008,167,2920,7,21,3
1080,190,2847,6,35,1
991,208,2799,7,35,4
1118,193,2610,5,36,2
1119,175,2738,7,31,5
1155,167,2593,2,34,5
1269,156,2562,8,30,4
1271,165,2482,4,35,4
1304,166,2404,4,30,1
1238,198,2512,6,21,3
1267,168,2487,4,38,7
1201,170,2492,5,26,4
1226,212,2476,2,25,1
1326,198,2536,5,29,5
1260,189,2506,3,34,5
1212,179,2437,8,39,1
1211,179,2588,8,27,2
1233,195,2611,10,27,5
1179,217,2561,3,29,4
1095,209,2624,6,16,4
1151,210,2706,3,28,4
1077,206,2669,6,26,1
1122,194,2760,10,28,2
1038,193,2779,8,27,4
966,184,2708,9,28,3
977,187,2768,4,26,4
931,186,2693,4,16,2
879,200,2682,11,18,3
875,170,2631,2,27,4
802,185,2633,5,21,0
797,169,2480,3,38,5
694,189,2458,8,15,0
691,152,2553,5,19,3
702,156,2480,1,20,4
668,150,2433,2,13,3
638,130,2214,8,18,2
607,150,2200,2,25,2
591,141,2022,1,20,3
545,114,1974,1,22,2
561,126,1836,4,12,3
527,108,1712,3,12,2
523,107,1725,5,14,3
491,110,1564,5,20,2
457,101,1466,2,21,2
469,110,1432,5,16,2
419,83,1288,4,16,2
448,85,1257,0,14,2
419,74,1198,4,14,3
403,63,1100,0,21,3
415,58,992,4,16,4
388,62,944,1,20,2
412,59,873,2,13,3
394,64,843,4,18,1
345,42,790,2,11,0
363,43,776,4,16,1
380,44,720,0,15,3
370,38,669,4,20,1
328,43,645,1,11,2
324,36,617,4,17,0
354,37,581,3,11,2
331,33,567,4,6,0
356,25,482,2,7,1
337,23,478,0,12,2
304,27,462,2,8,1
299,16,464,1,14,2
314,27,465,3,11,1
314,31,450,1,13,4
337,25,420,0,9,2
296,22,410,2,6,1
308,26,413,1,6,2
318,24,379,6,16,1
306,21,367,1,8,2
309,29,352,2,16,1
302,16,375,4,6,2
315,12,348,0,11,1
301,13,339,1,12,2
275,14,315,3,8,1
296,13,359,2,8,1
298,16,332,2,15,4
